relative_path,profile_index,profile_date,prediction_date,time_difference_days,latitude,longitude,data_mode,depth_metres_prototype,argo_temperature_c,oceanembed_temperature_c
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,5.0,29.60300064086914,29.68948596627923
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,10.0,29.602548845700138,29.601255002802787
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,20.0,29.604039323976515,29.424793166187634
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,30.0,29.610020599822747,29.248329599460362
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,50.0,29.02899932861328,28.575635988943347
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,75.0,23.740999221801758,26.238823718482436
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,100.0,19.001824124433714,22.465574606388746
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,125.0,17.09299945831299,19.30849319456111
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,150.0,16.233999252319336,17.135419098185356
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,200.0,14.947999954223633,13.996687581814546
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,300.0,12.533372803715341,11.875636902800654
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,500.0,10.30863260112897,9.515700178735228
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,700.0,8.626239690551301,8.19038140981269
aoml/2903434/profiles/D2903434_007.nc,0,2024-06-08,2024-06-10,2,10.94319,87.60223,D,1000.0,6.788000106811523,6.575620923508677
aoml/2903434/profiles/D2903434_007.nc,1,2024-06-08,2024-06-10,2,10.94319,87.60223,D,5.0,29.60300064086914,29.68948596627923
aoml/2903434/profiles/D2903434_007.nc,1,2024-06-08,2024-06-10,2,10.94319,87.60223,D,10.0,29.60099983215332,29.601255002802787
aoml/2903434/profiles/D2903434_007.nc,1,2024-06-08,2024-06-10,2,10.94319,87.60223,D,20.0,29.60466638671322,29.424793166187634
aoml/2903434/profiles/D2903434_007.nc,1,2024-06-08,2024-06-10,2,10.94319,87.60223,D,30.0,29.608999252319336,29.248329599460362
aoml/2903434/profiles/D2903434_007.nc,1,2024-06-08,2024-06-10,2,10.94319,87.60223,D,50.0,29.027000427246094,28.575635988943347
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,5.0,29.815074567376215,29.74121872145244
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,10.0,29.815586156198755,29.65310337766428
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,20.0,29.82200050354004,29.47687081697406
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,30.0,29.81707789847502,29.300639087472582
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,50.0,29.82200050354004,28.868127131018017
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,75.0,26.352499961853027,27.252501378191493
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,100.0,21.67099952697754,23.831893762893017
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,125.0,18.01900005340576,20.322481286673106
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,150.0,16.118999481201172,17.762908161396435
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,200.0,13.737000465393066,14.324106949598889
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,300.0,11.899219460756285,12.077228151382872
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,500.0,9.980759893645882,9.723427663196777
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,700.0,8.628744954520444,8.402250571125695
aoml/2903434/profiles/D2903434_008.nc,0,2024-06-19,2024-06-19,0,11.18108,87.86917,D,1000.0,6.866823721541197,6.792752716426307
aoml/2903434/profiles/D2903434_008.nc,1,2024-06-19,2024-06-19,0,11.18108,87.86917,D,5.0,29.815000534057617,29.74121872145244
aoml/2903434/profiles/D2903434_008.nc,1,2024-06-19,2024-06-19,0,11.18108,87.86917,D,10.0,29.81599998474121,29.65310337766428
aoml/2903434/profiles/D2903434_008.nc,1,2024-06-19,2024-06-19,0,11.18108,87.86917,D,20.0,29.823999404907227,29.47687081697406
aoml/2903434/profiles/D2903434_008.nc,1,2024-06-19,2024-06-19,0,11.18108,87.86917,D,30.0,29.81599998474121,29.300639087472582
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,5.0,29.731000900268555,29.654708725895635
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,10.0,29.715800091584363,29.56632447489678
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,20.0,29.6386399377443,29.389554166233502
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,30.0,29.574490940107935,29.212782503657152
aoml/2903434/profiles/D2903434_009.nc,0,2024-06-29,2024-06-29,0,11.79457,87.73091,D,50.0,29.552000045776367,28.831266294867582
